name,population,income,educational attainment,unemployment,health insurance coverage,housing cost burden,state,congressional district,composite_score
"Congressional District 15 (116th Congress), New York",0.22605648901199826,0.9998088435852184,0.0737833594976452,1.0,0.22673478168013594,0.6374410326894129,New York,15,0.5273040844107352
"Congressional District 16 (116th Congress), New York",0.22901504526603356,0.9998777876520432,0.4897959183673469,1.0,0.22798988488954783,0.8463350903955655,New York,16,0.6321689544284229
"Congressional District 18 (116th Congress), New York",0.2223853236934528,0.9998539425837355,0.4317111459968602,1.0,0.2191732104332969,0.8920237429956652,New York,18,0.6275245609505018
"Congressional District 20 (116th Congress), New York",0.22299749173895655,0.9998327186435503,0.47566718995290413,1.0,0.2218019629752291,0.8500304591017334,New York,20,0.6283883037353956
"Congressional District 22 (116th Congress), New York",0.21262595825953837,0.9997945848281728,0.25588697017268447,1.0,0.21037355957174825,0.8313522330800949,New York,22,0.5850055509853731
"Congressional District 23 (116th Congress), New York",0.21236671599641485,0.9997889901891428,0.2747252747252747,1.0,0.20998913585138093,0.8178948481324291,New York,23,0.5857941608157737
"Congressional District 25 (116th Congress), New York",0.22006105093864745,0.9998065553463655,0.4646781789638933,1.0,0.21955515799443484,0.8158558504130858,New York,25,0.6199927989427378
"Congressional District 27 (116th Congress), New York",0.21965467947642894,0.9998111348230736,0.3485086342229199,1.0,0.2162881754111198,0.8751982358893806,New York,27,0.6099101433038204
"Congressional District 2 (116th Congress), North Carolina",0.2659094581038087,0.9998196849789968,0.4379905808477237,1.0,0.26471565954048676,0.8725802635089892,North Carolina,02,0.6401692744966675
"Congressional District 3 (116th Congress), North Carolina",0.2335554707796496,0.999783221607972,0.24018838304552592,1.0,0.21753956438168756,0.8236644564938301,North Carolina,03,0.5857885160514442
"Congressional District 5 (116th Congress), North Carolina",0.23377232508979798,0.9997820864855529,0.2747252747252747,1.0,0.23241942423107517,0.8020561152310612,North Carolina,05,0.5904592042937936
"Congressional District 7 (116th Congress), North Carolina",0.24795969581422037,0.9997832036139573,0.2778649921507064,1.0,0.2455539013436259,0.8071812996219043,North Carolina,07,0.5963905154240691
"Congressional District 8 (116th Congress), North Carolina",0.24528403307243243,0.9997904866913546,0.2841444270015699,1.0,0.2338918104128686,0.8344283506270547,North Carolina,08,0.59958985130088
"Congressional District 10 (116th Congress), North Carolina",0.23520430071856796,0.9997854813563017,0.2543171114599686,1.0,0.23444151776179967,0.8228992030287927,North Carolina,10,0.5911079357209051
"Congressional District 12 (116th Congress), North Carolina",0.27207352651182165,0.9998033269202514,0.5007849293563579,1.0,0.2727483200807228,0.8438329129473838,North Carolina,12,0.6482071693027562
"Congressional District 13 (116th Congress), North Carolina",0.24076295858082677,0.9997905346753935,0.3171114599686028,1.0,0.24028092026457762,0.8202208159011615,North Carolina,13,0.6030277815650936
"Congressional District 1 (116th Congress), New Jersey",0.22283285447232837,0.9998276518289476,0.3563579277864992,1.0,0.22245814517102522,0.8620882357383437,New Jersey,01,0.6105941358328573
"Congressional District 2 (116th Congress), New Jersey",0.21872675189716806,0.9998158462558885,0.28728414442700156,1.0,0.21489440728486045,0.849240032825346,New Jersey,02,0.5949935304483774
"Congressional District 3 (116th Congress), New Jersey",0.22756126134261692,0.9998323827552783,0.401883830455259,1.0,0.22372222445764375,0.8986995725656632,New Jersey,03,0.6252832119294102
"Congressional District 4 (116th Congress), New Jersey",0.22815131393439453,0.9998629860755581,0.5259026687598116,1.0,0.22811431189082615,0.9026114274494405,New Jersey,04,0.6474404513516718
"Congressional District 5 (116th Congress), New Jersey",0.22587741526863214,0.9998870800610673,0.6279434850863422,1.0,0.2252775619736227,0.9222411857401058,New Jersey,05,0.6668711213549616
"Congressional District 6 (116th Congress), New Jersey",0.22515651290897465,0.9998586915040808,0.4960753532182104,1.0,0.2248312342725199,0.8956234550187034,New Jersey,06,0.6402575411537482
